date,rolling_average_cases_per_100k_centered,region
2020-11-29,51.67546070138717,Nationwide
2020-11-30,55.93215189123601,Nationwide
2020-12-01,57.94666510737561,Nationwide
2020-12-02,59.76894065687687,Nationwide
2020-12-03,61.555397415424245,Nationwide
2020-12-04,62.54217681675794,Nationwide
2020-12-05,63.83417758013254,Nationwide
2020-12-06,64.47687027274026,Nationwide
2020-12-07,64.67063121724419,Nationwide
2020-12-08,64.86552373959114,Nationwide
2020-12-09,65.14432711122011,Nationwide
2020-12-10,65.62420316110789,Nationwide
2020-12-11,66.02935155113194,Nationwide
2020-12-12,65.02268249309601,Nationwide
2020-12-13,64.88267149613529,Nationwide
2020-12-14,65.1233493988996,Nationwide
2020-12-15,65.12713583245123,Nationwide
2020-12-16,64.96401453415817,Nationwide
2020-12-17,64.35365885452583,Nationwide
2020-12-18,63.20267009928078,Nationwide
2020-12-19,62.40503828662949,Nationwide
2020-12-20,61.43819206422274,Nationwide
2020-12-21,59.61199951449566,Nationwide
2020-12-22,53.67817939462458,Nationwide
2020-12-23,49.96338342490567,Nationwide
2020-12-24,48.20935072378315,Nationwide
2020-12-25,52.42565328908131,Nationwide
2020-12-26,55.22852808400442,Nationwide
2020-12-27,57.28490968033557,Nationwide
2020-12-28,59.98137263579055,Nationwide
2020-12-29,62.71043373756931,Nationwide
2020-12-30,67.08285052297879,Nationwide
2020-12-31,71.23073615099928,Nationwide
2021-01-01,67.62431052086141,Nationwide
2021-01-02,68.05531111237588,Nationwide
2021-01-03,68.20350428758609,Nationwide
2021-01-04,70.13562993230926,Nationwide
2021-01-05,75.69202531931015,Nationwide
2021-01-06,75.69663867513167,Nationwide
2021-01-07,74.95484587681068,Nationwide
2021-01-08,75.30663601931413,Nationwide
2021-01-09,73.07272726830384,Nationwide
2021-01-10,71.52660023472293,Nationwide
2021-01-11,69.08657022738501,Nationwide
2021-01-12,66.18163581546689,Nationwide
2021-01-13,64.79610579114464,Nationwide
2021-01-14,62.95276548487342,Nationwide
2021-01-15,61.09706486677849,Nationwide
2021-01-16,58.06382693635238,Nationwide
2021-01-17,57.01881479832814,Nationwide
2021-01-18,55.00186433760359,Nationwide
2021-01-19,53.16413839832271,Nationwide
2021-01-20,51.78583306330585,Nationwide
2021-01-21,50.50271083377645,Nationwide
2021-01-22,49.620645905146354,Nationwide
2021-01-23,49.65267826254862,Nationwide
2021-01-24,47.71149999508133,Nationwide
2021-01-25,45.85841071047029,Nationwide
2021-01-26,44.82693398433749,Nationwide
2021-01-27,43.6812984627344,Nationwide
2021-01-28,42.71506155147389,Nationwide
2021-01-29,42.5866274662917,Nationwide
2021-01-30,41.30346171453756,Nationwide
2021-01-31,39.65475279726489,Nationwide
2021-02-01,38.22147889241236,Nationwide
2021-02-02,36.828288956537385,Nationwide
2021-02-03,34.898600556399174,Nationwide
2021-02-04,34.53727904667958,Nationwide
2021-02-05,32.642321381876975,Nationwide
2021-02-06,31.582163509646232,Nationwide
2021-02-07,30.594600708267368,Nationwide
2021-02-08,29.761585326909493,Nationwide
2021-02-09,28.39868685944754,Nationwide
2021-02-10,27.93534925495768,Nationwide
2021-02-11,26.504773728038487,Nationwide
2021-02-12,25.506243326027327,Nationwide
2021-02-13,23.99963447250248,Nationwide
2021-02-14,22.80830061493148,Nationwide
2021-02-15,21.217606823225683,Nationwide
2021-02-16,20.175293063134784,Nationwide
2021-02-17,19.4104334857062,Nationwide
2021-02-18,18.891909700257,Nationwide
2021-02-19,18.86749373218271,Nationwide
2021-02-20,19.06604212140709,Nationwide
2021-02-21,19.319384991568228,Nationwide
2021-02-22,19.649326977256525,Nationwide
2021-02-23,19.179417516832235,Nationwide
2021-02-24,19.8778621793208,Nationwide
2021-02-25,19.65450612199956,Nationwide
2021-02-26,19.52324309220983,Nationwide
2021-02-27,19.15852684896119,Nationwide
2021-02-28,18.856961353797725,Nationwide
2021-03-01,18.489546732615743,Nationwide
2021-03-02,18.672557687611032,Nationwide
2021-03-03,17.401708725455865,Nationwide
2021-03-04,17.08495397386116,Nationwide
2021-03-05,16.915608997431512,Nationwide
2021-03-06,16.88135700656795,Nationwide
2021-03-07,16.41545159081894,Nationwide
2021-03-08,16.111274762171593,Nationwide
2021-03-09,15.770974486997236,Nationwide
2021-03-10,15.95633564212802,Nationwide
