sampling_week,normalized_concentration_rolling_average,population,region
2021-09-01,1198.0065262980345,"2,000,000-5,000,000",South
2021-09-08,1016.267736682898,"2,000,000-5,000,000",South
2021-09-15,721.6239298202667,"2,000,000-5,000,000",South
2021-09-22,441.34053199459214,"2,000,000-5,000,000",South
2021-09-29,357.83067734310345,"2,000,000-5,000,000",South
2021-10-06,297.3186031208559,"2,000,000-5,000,000",South
2021-10-13,268.2345219115411,"2,000,000-5,000,000",South
2021-10-20,244.7456784954654,"2,000,000-5,000,000",South
2020-03-04,,"200,000-500,000",West
2020-03-25,15.854045249462828,"200,000-500,000",West
2020-04-01,18.06914857942245,"50,000-100,000",West
2020-04-08,32.87967461052727,"100,000-200,000",West
2020-04-15,32.87967461052727,"200,000-500,000",West
2020-04-22,58.96899386336961,"100,000-200,000",West
2020-04-29,125.39278280064968,"1,000,000-2,000,000",West
2020-05-06,134.55486945093887,"1,000,000-2,000,000",West
2020-05-13,114.26182669340146,"1,000,000-2,000,000",West
2020-05-20,29.033072643260017,"500,000-1,000,000",West
2020-05-27,29.001900889317948,"500,000-1,000,000",West
2020-06-03,31.75311748766781,"500,000-1,000,000",West
2020-06-10,58.687950221281056,"500,000-1,000,000",West
2020-06-17,64.18081176404615,"500,000-1,000,000",West
2020-06-24,62.021876343221685,"1,000,000-2,000,000",West
2020-07-01,43.78726578154059,"500,000-1,000,000",West
2020-07-08,48.90940689808493,"500,000-1,000,000",West
2020-07-15,70.20644746782644,"200,000-500,000",West
2020-07-22,82.0948257474187,"1,000,000-2,000,000",West
2020-07-29,94.71123953577408,"1,000,000-2,000,000",West
2020-08-05,95.25387574364622,"1,000,000-2,000,000",West
2020-08-12,92.31891088336596,"2,000,000-5,000,000",West
2020-08-19,94.02820392055776,"2,000,000-5,000,000",West
2020-08-26,87.79043832005,"2,000,000-5,000,000",West
2020-09-02,87.7386226213351,"2,000,000-5,000,000",West
2020-09-09,74.61925910837762,"2,000,000-5,000,000",West
2020-09-16,63.71160975315579,"2,000,000-5,000,000",West
2020-09-23,65.30642454786387,"2,000,000-5,000,000",West
2020-09-30,74.16568093229522,"2,000,000-5,000,000",West
2020-10-07,107.72038426400415,"2,000,000-5,000,000",West
2020-10-14,152.4996335220729,"2,000,000-5,000,000",West
2020-10-21,175.17874554044877,"2,000,000-5,000,000",West
2020-10-28,210.6303797466353,"2,000,000-5,000,000",West
2020-11-04,398.9110224685166,"2,000,000-5,000,000",West
2020-11-11,510.468800782704,"2,000,000-5,000,000",West
2020-11-18,558.1426546312861,"2,000,000-5,000,000",West
2020-11-25,449.73295958743694,"2,000,000-5,000,000",West
2020-12-02,426.2956731769712,"2,000,000-5,000,000",West
2020-12-09,486.541918326051,"2,000,000-5,000,000",West
2020-12-16,517.7275206932059,"2,000,000-5,000,000",West
2020-12-23,552.7836115853772,"2,000,000-5,000,000",West
2020-12-30,517.8397655550735,"200,000-500,000",West
2021-01-06,490.0928627422957,"1,000,000-2,000,000",West
2021-01-13,396.1018372613524,"1,000,000-2,000,000",West
2021-01-20,300.94326538074256,"2,000,000-5,000,000",West
2021-01-27,189.07577580556423,"2,000,000-5,000,000",West
2021-02-03,159.83845772650284,"200,000-500,000",West
2021-02-10,113.23568443620788,"100,000-200,000",West
2021-02-17,89.68805876922761,"200,000-500,000",West
2021-02-24,52.82732836091117,"200,000-500,000",West
2021-03-03,43.975265715510574,"200,000-500,000",West
2021-03-10,53.437723541722754,"100,000-200,000",West
2021-03-17,73.84421500048947,"200,000-500,000",West
2021-03-24,99.30616286372442,"200,000-500,000",West
2021-03-31,106.99103670677349,"200,000-500,000",West
2021-04-07,107.32724708212982,"200,000-500,000",West
2021-04-14,117.96443378628516,"200,000-500,000",West
2021-04-21,120.6937408975988,"200,000-500,000",West
2021-04-28,109.91244820771485,"200,000-500,000",West
2021-05-05,77.60939623848436,"200,000-500,000",West
2021-05-12,65.82854137689743,"200,000-500,000",West
2021-05-19,70.52858504365567,"200,000-500,000",West
2021-05-26,71.47950768253868,"100,000-200,000",West
2021-06-02,64.44488841721794,"200,000-500,000",West
2021-06-09,64.07834838740736,"2,000,000-5,000,000",West
2021-06-16,66.42552010118902,"2,000,000-5,000,000",West
2021-06-23,70.03502420711827,"2,000,000-5,000,000",West
2021-06-30,69.28986768876395,"2,000,000-5,000,000",West
2021-07-07,83.91533745928864,"2,000,000-5,000,000",West
2021-07-14,111.79579014047926,"2,000,000-5,000,000",West
2021-07-21,183.0941738083176,"2,000,000-5,000,000",West
2021-07-28,246.7852162966188,"2,000,000-5,000,000",West
2021-08-04,345.85203876466704,"2,000,000-5,000,000",West
2021-08-11,417.6805489160154,"2,000,000-5,000,000",West
2021-08-18,540.1317017898618,"2,000,000-5,000,000",West
2021-08-25,720.8719981438541,"200,000-500,000",West
2021-09-01,730.2383963357587,"100,000-200,000",West
2021-09-08,692.051387460593,"200,000-500,000",West
2021-09-15,490.93214421035646,"200,000-500,000",West
2021-09-22,461.1335791738227,"200,000-500,000",West
2021-09-29,489.5765535630264,"200,000-500,000",West
2021-10-06,455.0185904687071,"200,000-500,000",West
2021-10-13,426.8931127408373,"200,000-500,000",West
2021-10-20,328.2352768197886,"20,000-50,000",West
